UUID,Subject,Product,Review,Rating,Reviewer
d45c3b4c-a115-4761-9154-7cc4b5b5fd08,This is perfect,3036167e-1f94-41ba-8926-f6072630b1ef,This is the perfect collection for any growing business. It is innovative and modern.,4.5,jennifer_kappel
6674e2e7-f857-425a-8595-17d685fb03ca,Highly recommend,3036167e-1f94-41ba-8926-f6072630b1ef,I highly recommend this collection. These chairs are so comfortable!,5,marc_rust
a933b17d-e131-4db3-ab28-7727d4ee0da4,Obio is a lifesaver,3036167e-1f94-41ba-8926-f6072630b1ef,Obio is a lifesaver. Their customer support and assembly is award-winning.,4,alex_angstrom
436cb501-385a-4890-afbf-deb73833d7c6,Style reflects our brand,80f3822f-2304-4f45-8c26-13b1a9deea88,"The style perfectly reflects our brand—true to its core, essential, and made to last.",4.5,jennifer_kappel
6b13f754-c3ad-4770-92ab-83e46e35d97a,Inviting guests,80f3822f-2304-4f45-8c26-13b1a9deea88,I can’t wait to invite clients and prospects to our office.,4,marc_rust
39d3af0d-10e8-4922-9069-35f372b0bada,Extension of our team,80f3822f-2304-4f45-8c26-13b1a9deea88,"Our office is like an extended member of our team. It has a history and a life, and people love to talk about it.",5,alex_angstrom
52c85bd7-8197-49a5-9a5b-2bcac19e9b0e,Fluid technology,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,Our office is now a fluid extension of our technology. Wonderfully innovative.,4.5,jennifer_kappel
230fb192-7ccd-49bd-b2ce-ddee87a7173e,Forward-thinking,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,It’s exciting to work in a space as forward-thinking as our company itself.,5,marc_rust
4b75082f-e403-4c03-a7f6-abc093537fbc,Detail and Innovation,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,The attention to detail and innovation has surpassed our expectations.,4,alex_angstrom
3def4445-7277-4e16-b0e6-b7c7394835de,Simplicity,a5cccb33-7d53-4c07-b65b-b22762e73ba9,"The best user experience requires simplicity, so it more than makes sense that our office should reflect our core values.",4.5,jennifer_kappel
53a997ae-29f6-444c-ab9e-d3dce06c6205,Exactly what we need,a5cccb33-7d53-4c07-b65b-b22762e73ba9,Exactly what we needed. Perfect design.,4,marc_rust
f94b9506-396c-4336-9fce-3b68d7ec3ae7,What more,a5cccb33-7d53-4c07-b65b-b22762e73ba9,Who could ask for anything more?,5,alex_angstrom
8035673d-6d8f-4ca5-b0b2-99fc8c19f26d,Incredibly satisfied,24c573a5-8912-450e-8046-42325f407504,It’s incredibly satisfying to style an office with furniture that looks great and makes the world safer for us.,4,jennifer_kappel
c0fe2fba-9329-45ec-9329-d4c00a2316ed,We want more,24c573a5-8912-450e-8046-42325f407504,"We want to be a business that’s around for 100 years, and that starts with how we treat our world. The Eco-friendly Style Collection is perfect.",4,marc_rust
0ae56051-44ee-4e13-83d3-582512229346,Amazing,24c573a5-8912-450e-8046-42325f407504,People are shocked that our furniture can looks this amazing and still be LEED certified.,5,alex_angstrom
c0d253e2-4d4f-4df6-8e1a-c55a2336a712,Company made,74547a43-2417-4bdc-af38-35e668ebf6c3,"For a company made of millennials, this collection appeals to our desire to work in a way that fits our lifestyle and company culture.",4.5,jennifer_kappel
1e6e70c2-2cfe-4b4b-a9b4-7a979baf0f78,We work hard,74547a43-2417-4bdc-af38-35e668ebf6c3,"We work hard around here, and many of us sleep at the office. Now our furniture provides comfort for all hours of the working day.",5,marc_rust
3224d919-79bc-4c34-9a55-92cc681fd575,The design is brilliant,74547a43-2417-4bdc-af38-35e668ebf6c3,The design is brilliant and gives our space the off-the-wall personality it deserves.,5,alex_angstrom
