UUID,Info,First Line,Second Line,Link,Link Title
6c3b01a2-acfe-47e7-8ece-47b78ee75c6d,Startups Hero,Start-ups Démarrez ici,Nous adaptons nos conceptions pour adapter le style de votre start-up. Découvrez toutes nos collections de style pour commencer,internal:/shop/office,Explorer
f23e259b-6ebe-435c-8c67-be4cebb150a1,Bureau Inspiring,Espaces de bureau Inspirant,Tenace travail mérite des espaces significatifs qui inspire l'innovation et la créativité.,internal:/shop/office,Commencer
c49c9224-35d0-4ffb-8ebc-f66a2af144a7,Abonnement CTA Hero,Ne jamais sortir de style,Abonnez-vous à louer quoi que ce soit de bureaux à l'art et toujours décor sur le point de tendances du design,internal:/subscribe,Souscrire
59c3fd0b-128b-42a1-84fa-ca062bf6b4d5,Conception CTA Hero,Besoin de la touche d'un designer?,Prenez rendez-vous de consultation avec un de nos designers primés. Laissez tout le travail pour nous et revenir à faire ce que vous faites le mieux!,internal:/locations,Trouver un Designer
8de0c34d-3203-47d0-9c27-d4375db1883c,Localisation Hero,Nos implantations,,,
7de476f7-dc52-437a-8dcd-f8a5b4001765,Boutique Bureau Titre,Représentez votre identité de marque,Commencez avec un de nos collections sur mesure,,
2a9da6b1-dcd3-4480-a24b-43c7dd8637d9,Magasin bureau Hero,Notre forfait Ambiance,"rafraîchir Idéalement l'apparence de votre espace chaque année sans frais supplémentaires, ou à tout moment pour un montant fixe.",internal:/,M'en dire plus
abe88b55-1a2f-44e1-8776-50ad15068450,Downtown CTA Hero,Lancement dans le luxe,Entourez votre démarrage avec les plus beaux meubles et de luxe décor. Laissez-vous inspirer pour grandir avec notre Collection Downtown Style.,internal:/product/downtown-collection,M’impressionner
ea3d7402-2c5c-43eb-bf5e-1189161dc4c4,Casual CTA Hero,"Votre espace, vos règles",Concevez votre bureau pour adapter votre personnalité et de la marque. Remplissez votre espace avec notre style Casual Collection créative.,internal:/product/casual-collection,Montrer moi
cbef9266-b724-4782-a5f2-9cc193a3e382,HR Persona CTA Hero,L'outil de recrutement ultime,Impressionnez vos candidats potentiels avec une mise en page de bureau sophistiqué. Découvrez tous nos styles Collections pour commencer.,internal:/shop/office,Explorer
b90504e1-9093-48ce-90ed-9af0460cd0fe,Recruteur Persona CTA Hero,Conçu pour le la génération millénaire ,Attirer la plus grande génération de candidats en adaptant votre bureau à leurs besoins. Jetez un oeil à notre collection de style Tech.,internal:/product/technology-collection,Montrer moi
e98eaf64-bd71-4d80-bade-e24b29bc9188,Recruteur Persona Alt CTA Hero,"Recrutement Sharp, Sharper Edges","Attiré les meilleurs candidats avec une décoration raffinée, des couleurs solides, et des arêtes vives. Commencez à explorer la collection de style minimaliste.",internal:/product/minimalist-collection,M’impressionne
b5c679d0-19e2-4835-8143-371876c4f463,A propos de Hero,À propos de nous,,,
57e42285-46e0-413a-9d6a-0cae78959df3,Héro de promotion de NYC,Ouverture de New York City,25% de réduction sur les nouveaux clients - utilisez le coupon "obionyc",,
