UUID,Subject,Product,Review
d45c3b4c-a115-4761-9154-7cc4b5b5fd08,Parfait !,3036167e-1f94-41ba-8926-f6072630b1ef,C’est la collection parfaite pour toute entreprise en croissance. Innovante et moderne.
6674e2e7-f857-425a-8595-17d685fb03ca,Recommande fortement,3036167e-1f94-41ba-8926-f6072630b1ef,Je recommande vivement cette collection. Ces chaises sont très confortables!
a933b17d-e131-4db3-ab28-7727d4ee0da4,Obio est une bouée de sauvetage,3036167e-1f94-41ba-8926-f6072630b1ef,Obio est une bouée de sauvetage. Leur soutien à la clientèle et l'assemblage est primé.
436cb501-385a-4890-afbf-deb73833d7c6,Le style reflète notre marque,80f3822f-2304-4f45-8c26-13b1a9deea88,"Le style reflète parfaitement notre marque fidèle à sa base, essentielle, et faite pour durer."
6b13f754-c3ad-4770-92ab-83e46e35d97a,Inviter des amis,80f3822f-2304-4f45-8c26-13b1a9deea88,Je ne peux pas attendre d'inviter clients et prospects à notre bureau.
39d3af0d-10e8-4922-9069-35f372b0bada,Extension de notre équipe,80f3822f-2304-4f45-8c26-13b1a9deea88,"Notre bureau est comme un membre de notre équipe élargie. Il a une histoire et une vie, et les gens aiment en parler."
52c85bd7-8197-49a5-9a5b-2bcac19e9b0e,la technologie de fluide,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,Notre bureau est maintenant une extension fluide de notre technologie. Merveilleusement innovante.
230fb192-7ccd-49bd-b2ce-ddee87a7173e,Avant-gardiste,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,Il est passionnant de travailler dans un espace aussi avant-gardiste que notre société elle-même.
4b75082f-e403-4c03-a7f6-abc093537fbc,Détail et de l'innovation,558b7e1b-3593-42d3-8e55-dbf688a1a9b5,L'attention au détail et à l'innovation a dépassé nos attentes.
3def4445-7277-4e16-b0e6-b7c7394835de,Simplicité,a5cccb33-7d53-4c07-b65b-b22762e73ba9,"La meilleure expérience utilisateur exige la simplicité, il fait plus de sens que notre bureau doit refléter nos valeurs fondamentales."
53a997ae-29f6-444c-ab9e-d3dce06c6205,Exactement ce que nous avons besoin,a5cccb33-7d53-4c07-b65b-b22762e73ba9,Exactement ce dont nous avions besoin. La conception parfaite.
f94b9506-396c-4336-9fce-3b68d7ec3ae7,Quoi de plus,a5cccb33-7d53-4c07-b65b-b22762e73ba9,Qui pourrait demander de plus?
8035673d-6d8f-4ca5-b0b2-99fc8c19f26d,Incroyablement satisfaits,24c573a5-8912-450e-8046-42325f407504,Il est incroyablement satisfaisant de décorer un bureau avec des meubles magnifique qui rendent le monde plus sûr pour nous.
c0fe2fba-9329-45ec-9329-d4c00a2316ed,Nous voulons plus,24c573a5-8912-450e-8046-42325f407504,"Nous voulons que notre entreprise dure 100 ans, et cela commence par la façon dont nous traitons notre équipe. Le style Collection Eco-friendly est parfait."
0ae56051-44ee-4e13-83d3-582512229346,Incroyable,24c573a5-8912-450e-8046-42325f407504,Les gens sont choqués que nos meubles peuvent être si beau et pourtant être certifié LEED.
c0d253e2-4d4f-4df6-8e1a-c55a2336a712,Société a fait,74547a43-2417-4bdc-af38-35e668ebf6c3,"Pour une entreprise « génération millennaire », cette collection fait appel à notre désir de travailler d'une manière qui correspond à notre style de vie et la culture d'entreprise."
1e6e70c2-2cfe-4b4b-a9b4-7a979baf0f78,Nous travaillons dur,74547a43-2417-4bdc-af38-35e668ebf6c3,"Nous travaillons dur ici, et beaucoup d'entre nous dormons au bureau. Maintenant, nos meubles offre un confort pour toutes les heures de la journée de travail."
3224d919-79bc-4c34-9a55-92cc681fd575,La conception est brillante,74547a43-2417-4bdc-af38-35e668ebf6c3,La conception est brillante et donne notre espace la personnalité hors-la-mur qu'il mérite.
