UUID,Info,First Line,Second Line,Link,Link Title,Image,Nested Blocks,Icon,Alignment
6c3b01a2-acfe-47e7-8ece-47b78ee75c6d,Startups Hero,Start-ups Start Here,We customize our designs to fit your start-up's style. Explore all our Style Collections to get started,internal:/shop/office,Explore,startup.jpg,NULL,,left
f23e259b-6ebe-435c-8c67-be4cebb150a1,Inspiring Office,Inspiring Office Spaces,Purposeful work deserves meaningful spaces that inspires innovation and creativity.,internal:/shop/office,Get Started,inspire-office.jpg,NULL,,center
c49c9224-35d0-4ffb-8ebc-f66a2af144a7,Subscription CTA Hero,Never Go Out of Style,Subscribe to rent anything from desks to art and always have decor on the cusp of design trends,internal:/subscribe,Subscribe,subscribe-style-hero.jpg,NULL,,center
59c3fd0b-128b-42a1-84fa-ca062bf6b4d5,Design CTA Hero,Need a Designer's Touch?,Schedule a consultation appointment with one of our award-winning designers. Leave all the work to us and get back to doing what you do best!,internal:/locations,Find a Designer,design-consultation.jpg,NULL,,right
8de0c34d-3203-47d0-9c27-d4375db1883c,Location Hero,Our Locations,,,,location-header.jpg,NULL,,center
7de476f7-dc52-437a-8dcd-f8a5b4001765,Shop Office Title,Represent Your Brand Identity,Get started with one of our bespoke collections,,,man-people-office-writing.jpg,NULL,,left
2a9da6b1-dcd3-4480-a24b-43c7dd8637d9,Shop office Hero,Our Ambiance Package,"Conveniently refresh the look of your space annually for no additional cost, or anytime for a fixed fee.",internal:/,Tell me more,ambiance-lights.jpg,NULL,,center
abe88b55-1a2f-44e1-8776-50ad15068450,Downtown CTA Hero,Launch in Luxury,Surround your startup with the finest furniture and luxe décor. Get inspired to grow with our Downtown Style Collection.,internal:/product/downtown-collection,Impress Me,collection-downtown-1.jpg,NULL,,center
ea3d7402-2c5c-43eb-bf5e-1189161dc4c4,Casual CTA Hero,"Your Space, Your Rules",Design your office to fit your personality and brand. Fill your space with our creative Casual Style Collection.,internal:/product/casual-collection,Show Me,casual-cta.jpg,NULL,,right
cbef9266-b724-4782-a5f2-9cc193a3e382,HR Persona CTA Hero,The Ultimate Recruitment Tool,Impress your potential candidates with a sophisticated office layout. Explore all our Style Collections to get started.,internal:/shop/office,Explore,client-cta.jpg,NULL,,left
b90504e1-9093-48ce-90ed-9af0460cd0fe,Recruiter Persona CTA Hero,Designed for the Millennial Mindset,Attract the largest generation of candidates by tailoring your office to their needs. Take a look at our Tech Style Collection.,internal:/product/technology-collection,Show Me,hr-millennial-cta.jpg,NULL,,center
e98eaf64-bd71-4d80-bade-e24b29bc9188,Recruiter Persona Alt CTA Hero,"Sharp Recruitment, Sharper Edges","Sway the top candidates with sophisticated décor, solid colors, and sharp edges. Start exploring the Minimalist Style Collection.",internal:/product/minimalist-collection,Impress Me,modern-cta.jpg,NULL,,right
b5c679d0-19e2-4835-8143-371876c4f463,About Hero,About Us,,,,space-desk-workspace-coworking.jpg,NULL,,center
57e42285-46e0-413a-9d6a-0cae78959df3,NYC promo hero,New York City opening,25 % off new customers - use coupon "obionyc",,,collection-eco-2.jpg,NULL,,center
